Date,Home_Team,Away_Team,Home_RS,Home_RA,Away_RS,Away_RA,Home_W,Home_L,Away_W,Away_L,Home_Streak,Away_Streak,Home_Win,TMAX,TMIN,PRCP
2018-03-29,ATL,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.4,13.9,236.0
2018-03-29,SEA,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.4,6.7,0.0
2018-03-29,OAK,LAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.0,10.0,0.0
2018-03-29,TEX,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.8,11.7,15.0
2018-03-29,NYM,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.7,7.8,5.0
2018-03-29,SDP,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.6,11.7,0.0
2018-03-29,TBR,BOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28.3,19.4,0.0
2018-03-30,LAD,SFG,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0,24.4,11.1,0.0
2018-03-31,BAL,MIN,3.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,-1.0,0,15.0,4.4,0.0
2018-03-31,ARI,COL,17.0,10.0,10.0,17.0,2.0,0.0,0.0,2.0,2.0,-2.0,0,33.3,16.7,0.0
2018-03-31,KCR,CHW,7.0,14.0,14.0,7.0,0.0,1.0,1.0,0.0,-1.0,1.0,0,13.9,-1.1,0.0
2018-04-01,TOR,NYY,8.0,13.0,13.0,8.0,1.0,2.0,2.0,1.0,1.0,-1.0,1,5.0,-2.5,0.0
2018-04-01,CIN,WSN,7.0,15.0,15.0,7.0,0.0,2.0,2.0,0.0,-2.0,2.0,0,10.0,0.6,74.0
2018-04-01,DET,PIT,10.0,13.0,13.0,10.0,0.0,1.0,1.0,0.0,-1.0,1.0,0,5.0,-1.0,0.0
2018-04-01,MIA,CHC,12.0,19.0,19.0,12.0,1.0,2.0,2.0,1.0,-1.0,1.0,1,28.3,22.2,0.0
2018-04-02,HOU,BAL,22.0,11.0,5.0,15.0,3.0,1.0,1.0,2.0,2.0,-2.0,1,27.8,20.0,0.0
2018-04-02,ATL,WSN,27.0,12.0,21.0,12.0,2.0,1.0,3.0,0.0,1.0,3.0,0,27.2,13.3,0.0
2018-04-02,LAA,CLE,22.0,14.0,11.0,12.0,3.0,1.0,1.0,2.0,3.0,-1.0,0,23.3,10.6,0.0
2018-04-02,CIN,CHC,12.0,21.0,19.0,18.0,0.0,3.0,2.0,2.0,-3.0,-1.0,1,8.3,0.6,8.0
2018-04-02,ARI,LAD,18.0,12.0,14.0,2.0,2.0,1.0,2.0,2.0,-1.0,2.0,1,31.7,16.7,0.0
2018-04-02,MIA,BOS,18.0,19.0,10.0,9.0,2.0,2.0,3.0,1.0,1.0,3.0,0,28.3,20.6,0.0
